sample	compressor	size	noise	correct
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	bzip2	1	1.0	False
Sping From The Four Seasons (Vivaldi)	gzip	1	1.0	False
Sping From The Four Seasons (Vivaldi)	lzma	1	1.0	False
Sping From The Four Seasons (Vivaldi)	bzip2	1	1.0	False
Sping From The Four Seasons (Vivaldi)	gzip	1	1.0	False
Sping From The Four Seasons (Vivaldi)	lzma	1	1.0	False
Sping From The Four Seasons (Vivaldi)	bzip2	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	gzip	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	lzma	1	1.0	True
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	bzip2	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	gzip	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	lzma	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	bzip2	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	gzip	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	lzma	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	bzip2	1	1.0	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	gzip	1	1.0	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	lzma	1	1.0	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	bzip2	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	gzip	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	lzma	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	bzip2	1	1.0	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	gzip	1	1.0	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	lzma	1	1.0	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	bzip2	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	gzip	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	lzma	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	bzip2	1	1.0	False
Sping From The Four Seasons (Vivaldi)	gzip	1	1.0	False
Sping From The Four Seasons (Vivaldi)	lzma	1	1.0	False
Sping From The Four Seasons (Vivaldi)	bzip2	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	gzip	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	lzma	1	1.0	False
